,BASELINE_or_seul,GOLD_JPY_w0.100,GOLD_JPY_w0.125,GOLD_JPY_w0.150,GOLD_JPY_w0.175,GOLD_JPY_w0.200,GOLD_JPY_XAG_w0.100,GOLD_JPY_XAG_w0.125,GOLD_JPY_XAG_w0.150,GOLD_JPY_XAG_w0.175,GOLD_JPY_XAG_w0.200
2019-01-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-01-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-01-04,-0.0002858814914076356,-0.0002858814914076356,-0.0002858814914078684,-0.00028588149140775204,-0.00028588149140763565,-0.00028588149140775204,-0.0002858814914076356,-0.0002858814914078684,-0.00028588149140775204,-0.00028588149140763565,-0.00028588149140775204
2019-01-07,-0.00013474304949934114,-0.00013474304949934114,-0.00013474304949910828,-0.00013474304949922473,-0.00013474304949945761,-0.00013474304949945761,-0.00013474304949934114,-0.00013474304949910828,-0.00013474304949922473,-0.00013474304949945761,-0.00013474304949945761
2019-01-08,0.0001762229911762138,0.0001762229911762138,0.00017622299117609733,0.00017622299117609736,0.0001762229911763303,0.0001762229911764468,0.0001762229911762138,0.00017622299117609733,0.00017622299117609736,0.0001762229911763303,0.0001762229911764468
2019-01-09,9.708083704554911e-05,9.708083704554911e-05,9.708083704578201e-05,9.708083704566558e-05,9.708083704566557e-05,9.708083704566557e-05,-0.0003409084257756767,-0.00045040574148095413,-0.0005599030571862316,-0.0006694003728917418,-0.0007788976885971355
2019-01-10,6.439068848035923e-05,6.439068848035923e-05,6.439068848035922e-05,6.439068848047566e-05,6.439068848035923e-05,6.439068848047566e-05,-0.0006862055820669691,-0.0008738546497038479,-0.0010615037173408034,-0.0012491527849776028,-0.0014368018526144792
2019-01-11,-0.0002411639118583765,-0.0002411639118583765,-0.00024116391185837648,-0.00024116391185849295,-0.00024116391185860937,-0.00024116391185872576,-0.0001152096577407416,-8.372109421105657e-05,-5.22325306816821e-05,-2.074396715201839e-05,1.074459637736809e-05
2019-01-14,-0.0001596712368907065,-0.0001596712368907065,-0.00015967123689070647,-0.00015967123689082297,-0.00015967123689059008,-0.00015967123689070652,9.765347532002749e-05,0.00016198465337233884,0.00022631583142509567,0.00029064700947753816,0.00035497818753035565
2019-01-15,-0.0001492104339858872,-0.0001492104339858872,-0.00014921043398227654,-0.0001492104339856543,-0.00014921043398949784,-0.0001492104339856543,-0.0006707577057725236,-0.0008011445237246135,-0.0009315313416636457,-0.0010619181596143135,-0.0011923049775605277
2019-01-16,-0.00581299076481511,-0.00581299076481511,-0.005812990764826271,-0.005812990764818837,-0.005812990764818859,-0.005812990764818837,-0.00316658537773996,-0.0025049840309631912,-0.0018433826841927187,-0.0011817813374253954,-0.0005201799906508443
2019-01-17,-0.0008651418146854034,-0.0008651418146854034,-0.000865141814677911,-0.0008651418146854066,-0.0008651418146854099,-0.0008651418146854066,-0.015821901290744345,-0.01956109115975834,-0.02330028102878086,-0.027039470897792236,-0.030778660766808703
2019-01-18,-0.004462428520698811,-0.004462428520698811,-0.004462428520702564,-0.004462428520702581,-0.004462428520695092,-0.004462428520698828,-0.02605670661234727,-0.03145527613525914,-0.03685384565816678,-0.04225241518107665,-0.04765098470399531
2019-01-21,-0.00035043188108923625,-0.00035043188108923625,-0.00035043188108923755,-0.0003504318810892389,-0.00035043188108923755,-0.00035043188108923755,-0.0003504318810878866,-0.00035043188108849335,-0.0003504318810853481,-0.0003504318810907407,-0.00035043188109055355
2019-01-22,0.003185700390400562,0.003185700390400562,0.003185700390400574,0.003185700390400586,0.003185700390400574,0.003185700390400574,-0.0036147962104357213,-0.005314920360643664,-0.007015044510858793,-0.008715168661065772,-0.010415292811269473
2019-01-23,0.0006567482791225088,0.0006567482791225088,0.0006567482791262701,0.0006567482791262726,0.000656748279130029,0.000656748279130029,0.0006567482791235165,0.0006567482791242008,0.0006567482791272653,0.0006567482791298032,0.0006567482791226906
2019-01-24,0.004606222892203936,0.004606222892203936,0.004606222892207692,0.00460622289220771,0.0046062228922039185,0.0046062228922039185,0.004606222892209552,0.004606222892203986,0.004606222892208578,0.004606222892206751,0.004606222892212002
2019-01-25,0.0010543834114355188,0.0010543834114355188,0.0010543834114280365,0.0010543834114280406,0.0010543834114280365,0.0010543834114280365,0.0010543834114252616,0.0010543834114306433,0.0010543834114254366,0.0010543834114295559,0.001054383411424684
2019-01-28,0.00011704501384472304,0.00011704501384472304,0.00011704501384472349,0.00011704501384472393,0.00011704501384845872,0.00011704501384845872,0.01980982122143637,0.024733015273330897,0.029656209325226068,0.03457940337712029,0.039502597429018044
2019-01-29,-0.0016795173425701183,-0.0016795173425701183,-0.0016795173425701246,-0.001679517342566396,-0.0016795173425663834,-0.0016795173425701183,0.012012633832166815,0.015435671625849964,0.018858709419534048,0.022281747213215318,0.0257047850068981
2019-01-30,0.0023612663806462345,0.0023612663806462345,0.002361266380646243,0.002361266380642502,0.0023612663806499667,0.0023612663806499754,0.018739248203907943,0.022833743659721042,0.02692823911553464,0.031022734571352503,0.03511723002717277
2019-01-31,0.0,0.0,0.0,0.0,0.0,0.0,0.024163842485829184,0.030204803107287268,0.03624576372874813,0.04228672435020801,0.048327684971665175
2019-02-01,0.00020591788637554725,0.00020591788637554725,0.000205917886375548,0.000205917886375548,0.00020591788637927796,0.0002059178863792795,-0.023304716384135102,-0.029182374951761215,-0.035060033519400895,-0.04093769208702972,-0.046815350654657334
2019-02-04,-0.004306739704701537,-0.004306739704701537,-0.004306739704701554,-0.004306739704697822,-0.004306739704701489,-0.0043067397047015215,-0.01180108873745218,-0.013674675995633172,-0.015548263253815801,-0.017421850512006693,-0.0178230014601421
2019-02-05,-0.005928360486748252,-0.005928360486748252,-0.0059283604867445255,-0.005928360486748252,-0.005928360486751932,-0.005928360486748229,-0.014205570906692689,-0.016274873511684013,-0.01834417611667172,-0.020413478721655685,-0.02054370068926147
2019-02-06,-0.006942551799353124,-0.006942551799353124,-0.006942551799356895,-0.006942551799353124,-0.006942551799353072,-0.006942551799356869,-0.030599568989148625,-0.03651382328659826,-0.04242807758404455,-0.04834233188149365,-0.048881644766071666
2019-02-07,0.0015306777502945748,0.0015306777502945748,0.0015306777502907844,0.001530677750286982,0.0015306777502907668,0.0015306777502945748,0.004854784144055211,0.005685810742495862,0.006516837340933268,0.006932615752832383,0.006794610717974345
2019-02-08,-0.0010355194739241347,-0.0010355194739241347,-0.001035519473927933,-0.0010355194739241425,-0.0010355194739203402,-0.0010355194739241347,0.01660411903780286,0.021014028665732813,0.025423938293671376,0.028023935967492464,0.028337533135907433
2019-02-11,-0.011620119408907826,-0.011620119408907826,-0.011620119408904164,-0.011620119408904119,-0.011620119408911531,-0.011620119408907826,-0.032217487255659365,-0.03736682921734212,-0.04251617117903271,-0.043503411478713484,-0.04247252994347185
2019-02-12,0.0023917815155363002,0.0023917815155363002,0.0023917815155324795,0.0023917815155401487,0.0023917815155401305,0.0023917815155363002,0.0027962962010773793,0.0028974248724628056,0.0029384518598352875,0.0026385721417590668,0.0024077361083839903
2019-02-13,-0.0027762246882487122,-0.0027762246882487122,-0.0027762246882449145,-0.0027762246882525425,-0.002776224688252521,-0.0027762246882487122,-0.00948008069903735,-0.011156044701736399,-0.012585035456668775,-0.012366322622752751,-0.012195159366850082
2019-02-14,0.00437655511418933,0.00437655511418933,0.004376555114185523,0.004376555114189347,0.0043765551141854726,0.004376555114185489,-0.01860985929286654,-0.024356462894628974,-0.029650677423573663,-0.03069041131710654,-0.03148149943321786
2019-02-15,0.004515778334196077,0.004515778334196077,0.004515778334196128,0.004515778334196094,0.0045157783341999,0.0045157783341999175,0.04702669322516318,0.057654421947902164,0.06541016139044167,0.06554489985371408,0.06562943690334616
2019-02-18,-0.0009170258072917438,-0.0009170258072917438,-0.0009170258072879476,-0.0009170258072917473,-0.0009170258072879336,-0.0009170258072879372,-0.0009170258072960752,-0.0008775579973578041,-0.0007434220910450172,-0.0006446286279159245,-0.0005688981540654542
2019-02-19,0.010454584854173513,0.010454584854173513,0.010454584854169783,0.010454584854177362,0.010454584854177244,0.010454584854173473,0.05039201657408843,0.060317669130642744,0.05952467201143055,0.058919884746307126,0.05844451277275307
